"","Sector Group","Coeff. Estimate","p-value"
"1","Consumer Disc. and Staples",0.127730297443411,0.533651939153151
"2","Energy, Materials, and Industrials",0.319620439526113,0.200150818935555
"3","Tech, Telecomm, and Communications",1.22018636842563,0.00257093271314563
"4","Health Care",-0.202272328157698,0.536911690999441
"5","Financials",-0.16609870440052,0.686719838073964
"6","All Groups",0.204875198475166,0.0603068582610709
