"","rank","name","industry","revenue_usd_millions","revenue_growth","employees","County","State","esg","sector","sector_group"
"63",70,"American Airlines","Airlines",45768,2.8,133700,"Fort Worth","Texas",30.6,"Industrials","Energy, Materials, and Industrials"
"64",71,"Charter Communications","Telecommunications",45764,4.9,95100,"Stamford","Connecticut",20.4,"Telecommunications","Tech, Telecomm, and Communications"
"65",72,"Allstate","Insurance",44675,12.2,46035,"Northfield Township","Illinois",22.8,"Financials","Financials"
"66",73,"New York Life","Insurance",44117,1.6,11519,"New York City","New York",27.7,"Financials","Financials"
"67",75,"Best Buy","Retail",43638,1.8,125000,"Richfield","Minnesota",12,"Consumer Discretionary","Consumer Disc. and Staples"
"68",76,"United Airlines Holdings","Airlines",43259,4.7,96000,"Chicago","Illinois",31.4,"Industrials","Energy, Materials, and Industrials"
"69",77,"Liberty Mutual Group","Insurance",43228,1.3,45000,"Boston","Massachusetts",29.2,"Financials","Financials"
"70",79,"Tyson Foods","Food Processing",42405,5.9,141000,"Springdale","Arkansas",36.3,"Consumer Staples","Consumer Disc. and Staples"
"71",80,"TJX","Retail",41717,7,286000,"Framingham","Massachusetts",14.6,"Consumer Discretionary","Consumer Disc. and Staples"
"72",82,"Oracle","Software",39506,0.8,136000,"Redwood City","California",18.2,"Technology","Tech, Telecomm, and Communications"
"73",83,"General Dynamics","Airspace and defense",39350,8.7,102900,"Reston","Virginia",37.4,"Industrials","Energy, Materials, and Industrials"
